Subject	Trial	Event Type	Code	trial_boolean(num)	condition_code(num)	condition_label(str)	Time	TTime	Uncertainty...10	Duration	Uncertainty...12	ReqTime	ReqDur	Stim Type	Pair Index
15434	1	Picture	0;11;localize	0	11	localize	161	0	1	208336	7	0	next	other	0
15434	1	Response	0	n/a	n/a	n/a	208016	207856	1	n/a	n/a	n/a	n/a	n/a	n/a
15434	2	Picture	0;111;blockstart	0	111	blockstart	208497	0	7	167	7	0	next	other	0
15434	3	Picture	block_tar_pic	block_tar_pic	n/a	n/a	208663	0	1	50501	1	0	next	other	0
15434	3	Sound	block_tar_sound	block_tar_sound	n/a	n/a	208695	31	295	n/a	n/a	0	n/a	other	0
15434	5	Picture	trial_start	trial_start	n/a	n/a	264331	0	1	667	7	0	next	other	0
15434	5	Picture	1; 30; P; pictures//nontarget//jam.png	1	30	P	264997	667	7	25667	7	580	next	miss	0
15434	5	Sound	1; 0; P; sounds//jazz.wav	1	0	P	265001	670	2	n/a	n/a	670	n/a	hit	9
15434	5	Response	21	n/a	n/a	n/a	278402	14071	1	n/a	n/a	n/a	n/a	n/a	n/a
15434	7	Picture	trial_start	trial_start	n/a	n/a	295831	0	1	667	7	0	next	other	0
15434	7	Picture	2; 30; P; pictures//target//fork.jpg	2	30	P	296498	667	7	25334	7	580	next	miss	0
15434	7	Sound	2; 0; P; sounds//forces.wav	2	0	P	296501	670	2	n/a	n/a	670	n/a	hit	13
15434	7	Response	11	n/a	n/a	n/a	309241	13410	1	n/a	n/a	n/a	n/a	n/a	n/a
15434	9	Picture	trial_start	trial_start	n/a	n/a	326998	0	1	667	7	0	next	other	0
15434	9	Picture	3; 50; No; pictures//target//cake.jpeg	3	50	No	327665	667	7	25167	7	580	next	miss	0
15434	9	Sound	3; 0; No; sounds//empty.wav	3	0	No	327668	670	2	n/a	n/a	670	n/a	hit	17
15434	9	Response	11	n/a	n/a	n/a	340550	13552	1	n/a	n/a	n/a	n/a	n/a	n/a
15434	11	Picture	trial_start	trial_start	n/a	n/a	357999	0	1	2667	7	0	next	other	0
15434	11	Sound	4; 25; UN_200; sounds//people.wav	4	25	UN_200	358669	670	2	n/a	n/a	670	n/a	hit	21
15434	11	Picture	4; 20; UN_200; pictures//target//steak.jpg	4	20	UN_200	360665	2667	7	22834	7	2580	next	miss	0
15434	11	Response	11	n/a	n/a	n/a	373139	15140	1	n/a	n/a	n/a	n/a	n/a	n/a
15434	13	Picture	trial_start	trial_start	n/a	n/a	388666	0	1	2667	7	0	next	other	0
15434	13	Sound	5; 25; UN_200; sounds//sacrifice.wav	5	25	UN_200	389336	670	2	n/a	n/a	670	n/a	hit	25
15434	13	Picture	5; 20; UN_200; pictures//nontarget//olive.jpg	5	20	UN_200	391332	2667	7	22834	7	2580	next	miss	0
15434	13	Response	21	n/a	n/a	n/a	406740	18074	1	n/a	n/a	n/a	n/a	n/a	n/a
15434	15	Picture	trial_start	trial_start	n/a	n/a	419333	0	1	2667	7	0	next	other	0
